2018-11-04 21:27:28,18.0,51.9
2018-11-04 21:27:43,17.7,55.0
2018-11-04 21:27:54,12.8,52.0
2018-11-04 21:28:03,13.9,58.1
2018-11-04 21:28:12,28.6,51.7
2018-11-04 21:28:56,29.1,71.0
2018-11-04 21:31:18,10.3,51.0
2018-11-04 21:34:17,19.4,51.0
2018-11-04 21:36:55,13.6,61.0
2018-11-05 22:14:21,15.2,49.7
2020-05-21 12:54:02,14.6,41.9
2020-05-21 12:54:32,14.6,41.9
2020-05-21 12:58:44,14.6,41.9
2020-05-22 03:38:42,14.6,41.9
2020-05-22 14:08:45,14.6,41.9
2020-05-22 14:10:15,14.6,41.9
2020-05-22 14:14:00,14.6,41.9
2020-05-22 14:18:25,14.6,41.9
2020-05-22 17:08:25,14.6,41.9
2020-05-22 17:19:48,14.6,41.9
2020-05-22 20:05:24,13.1,47.2
2020-05-22 20:14:18,13.1,47.2
2020-05-22 20:51:00,13.1,47.2
2020-05-22 21:15:22,13.1,47.2
